Sample name,Cycle,Reactor phase,Conductivity (µS/cm),pH,Temperature (°C),Time point (d),D2.tax,D1.tax,D0.tax,D2.fcm,D2.fcm.sd,D1.fcm,D1.fcm.sd,D0.fcm,D0.fcm.sd,Cell.density,Cell.density.sd,D0_GLMM,D1_GLMM,D2_GLMM
CYCLUS2_BEKKEN_23_A_OPERATION,2,Operation,4.85,4.33,28.73,23.00,1.12,1.45,23.00,849.43,28.68,1551.95,7.24,6838.33,297.09,857000,5265.4344550094,30.39359057,2.201622548,1.421273784
CYCLUS2_BEKKEN_23_B_OPERATION,2,Operation,4.65,4.34,28.97,23.42,,,,899.83,5.72,1612.13,0.37,6763.67,114.03,886146.666666667,17547.8469714473,,,
CYCLUS2_BEKKEN_24_A_OPERATION,2,Operation,4.16,4.39,27.48,24.00,,,,865.37,16.73,1578.94,3.58,6838.33,27.54,781080,12265.268036207,,,
CYCLUS2_BEKKEN_24_B_OPERATION,2,Operation,4.16,4.39,25.37,24.42,1.30,2.15,39.00,860.25,17.78,1589.25,4.72,6898.33,297.40,739040,12361.4238662057,31.08168803,2.398019747,1.473730436
CYCLUS2_BEKKEN_25_A_OPERATION,2,Operation,3.39,4.49,25.98,25.00,,,,950.34,18.32,1774.40,2.74,7558.00,140.81,654440,3548.2953653832,,,
CYCLUS2_BEKKEN_25_B_OPERATION,2,Operation,3.31,4.50,26.17,25.42,,,,1045.69,50.46,1886.59,11.39,7499.67,369.67,626546.666666667,12677.0553889037,,,
CYCLUS2_BEKKEN_26_A_OPERATION,2,Operation,3.22,4.52,26.75,26.00,1.45,2.51,40.00,1111.07,6.87,2004.56,1.33,7936.67,30.66,638133.333333333,16023.4994097211,44.52014205,5.528691675,3.066363172
CYCLUS2_BEKKEN_26_B_OPERATION,2,Operation,3.30,4.51,26.33,26.42,,,,1075.43,25.50,1977.87,3.60,8133.33,145.71,671506.666666667,6721.9441632115,,,
CYCLUS2_BEKKEN_27_A_OPERATION,2,Operation,2.97,4.55,27.26,27.00,,,,1006.44,19.99,1907.89,6.33,8183.00,178.43,674773.333333333,35036.5599529025,,,
CYCLUS2_BEKKEN_27_B_OPERATION,2,Operation,2.77,4.65,26.30,27.42,1.48,2.48,36.00,1097.71,8.65,2017.17,3.98,8171.67,157.75,710000,20665.2171534683,47.97689644,5.654825488,2.961898639
CYCLUS2_BEKKEN_28_0h_SHUTDOWN,2,Shutdown,2.55,4.66,22.22,28.06,,,,1071.40,44.25,1999.97,11.45,8282.00,328.99,741613.333333333,6785.1995794769,,,
CYCLUS2_BEKKEN_28_2h_SHUTDOWN,2,Shutdown,2.54,4.67,13.96,28.15,,,,1118.00,17.64,2053.49,4.53,8146.67,214.60,751840,9570.9560650961,,,
CYCLUS2_BEKKEN_28_4h_SHUTDOWN,2,Shutdown,2.56,4.65,12.97,28.23,,,,1131.29,17.88,2065.91,2.65,8158.00,142.44,794640,4474.4608613776,,,
CYCLUS2_BEKKEN_28_6h_SHUTDOWN,2,Shutdown,2.48,4.68,14.13,28.31,,,,1063.64,35.77,1919.38,7.66,7573.67,206.05,841373.333333333,9715.1702678509,,,
CYCLUS2_BEKKEN_28_8h_SHUTDOWN,2,Shutdown,2.41,4.68,15.26,28.40,,,,1072.52,33.26,1933.09,8.16,7619.00,338.10,859666.666666667,1780.9360834498,,,
CYCLUS2_BEKKEN_28_10h_SHUTDOWN,2,Shutdown,2.36,4.68,16.88,28.48,1.91,4.30,58.00,1030.36,38.01,1866.43,9.51,7528.67,397.80,856640,2813.680863211,38.88836259,4.27616735,2.47076144
CYCLUS2_BEKKEN_29_A_POSTCYCLE,2,Shutdown,2.12,4.70,17.37,29.00,,,,1012.30,21.20,1822.65,4.68,7474.67,83.72,850893.333333333,10261.8776709398,,,
CYCLUS2_BEKKEN_29_B_POSTCYCLE,2,Shutdown,1.95,4.71,17.91,29.42,2.13,4.43,54.00,1027.57,25.08,1847.23,6.08,7522.67,247.55,866000,4206.471205179,38.80898877,4.120001948,2.451658107
CYCLUS2_BEKKEN_30_A_POSTCYCLE,2,Shutdown,1.82,4.72,17.75,30.00,,,,1017.34,39.82,1857.38,9.45,7685.33,299.94,873933.333333333,10268.8915338187,,,
CYCLUS2_BEKKEN_30_B_POSTCYCLE,2,Shutdown,1.75,4.72,17.71,30.42,1.84,3.84,50.00,1013.73,38.59,1863.40,10.01,7774.33,249.23,917826.666666667,14126.8161074367,42.22372091,4.251258929,2.358273048
CYCLUS2_BEKKEN_31_A_POSTCYCLE,2,Shutdown,1.67,4.73,15.48,31.00,1.96,4.30,53.00,1012.16,4.99,1868.44,1.15,7864.00,172.10,915506.666666667,13301.4485426713,43.48300554,4.292802257,2.347831877
CYCLUS2_BEKKEN_34_A_POSTCYCLE,2,Shutdown,1.54,4.71,15.39,34.00,,,,959.00,35.97,1768.44,7.99,7504.00,279.01,935853.333333333,26604.6712690334,,,
CYCLUS2_BEKKEN_34_B_POSTCYCLE,2,Shutdown,1.36,4.80,15.05,34.42,1.74,3.54,47.00,963.56,28.18,1786.05,6.54,7523.33,240.38,935960,15279.6335034581,38.8178032,3.649833958,2.039213373
CYCLUS2_BEKKEN_35_A_POSTCYCLE,2,Shutdown,1.36,4.79,14.89,35.00,1.86,3.69,38.00,967.13,38.14,1768.88,8.91,7353.33,210.53,918880,9066.5098025646,36.60948581,3.525122871,2.060944377
CYCLUS2_BEKKEN_35_B_POSTCYCLE,2,Shutdown,1.37,4.79,15.57,35.42,,,,957.27,62.70,1754.52,14.27,7360.67,383.49,966200,14875.6983029369,,,
