"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000246" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Oligoflexales" "Oligoflexaceae" "Unclassified" NA
"Otu000247" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Gammaproteobacteria_unclassified" "Gammaproteobacteria_unclassified" "Unclassified" NA
"Otu000248" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Emticicia" NA
"Otu000249" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "acIV" "acIV-B" NA
"Otu000255" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Coxiellaceae" "Rickettsiella" NA
"Otu000261" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Oceanospirillaceae" "Pseudospirillum" NA
"Otu000262" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "Roseiflexus" NA
"Otu000266" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Pir4_lineage" NA
"Otu000267" "Bacteria" "Omnitrophica" "NPL-UPA2" "NPL-UPA2_unclassified" "NPL-UPA2_unclassified" "Unclassified" NA
"Otu000274" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Erythrobacteraceae" "Porphyrobacter" NA
"Otu000277" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Unclassified" NA
"Otu000290" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Prosthecobacter" NA
"Otu000291" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Ferruginibacter" NA
"Otu000293" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Nitrosomonadaceae" "Nitrosospira" NA
"Otu000294" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Unclassified" NA
"Otu000298" "Bacteria" "Proteobacteria" "Betaproteobacteria" "undefined" "betV" "betV_unclassified" NA
"Otu000302" "Bacteria" "Acidobacteria" "Acidobacteria" "Subgroup_3" "SJA-149" "Unclassified" NA
"Otu000308" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "Methylococcaceae" "Methylomonas" NA
"Otu000310" "Bacteria" "Proteobacteria" "Betaproteobacteria" "undefined" "betV" "betV-A" NA
"Otu000311" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "undefinedAlpha" "f__undefined" "g__Candidatus_Phycosocius_bacilliformis" NA
"Otu000312" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Betaproteobacteria_unclassified" "Betaproteobacteria_unclassified" "Betaproteobacteria_unclassified" NA
"Otu000320" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfuromonadales" "BVA18" "Unclassified" NA
"Otu000322" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Aeromonadales" "Aeromonadaceae" "Aeromonas" NA
"Otu000323" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "Chthoniobacterales_unclassified" "Unclassified" NA
"Otu000328" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Chromatiales" "Chromatiaceae" "Rheinheimera" NA
