"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu001677" "Bacteria" "Actinobacteria" "Thermoleophilia" "Thermoleophilia_unclassified" "Thermoleophilia_unclassified" NA NA
"Otu001690" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" NA NA
"Otu001754" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Family_XII" NA NA
"Otu001760" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" NA NA
"Otu002142" "Bacteria" "Parcubacteria" "Parcubacteria_unclassified" "Parcubacteria_unclassified" "Parcubacteria_unclassified" NA NA
"Otu002392" "Bacteria" "Planctomycetes" "vadinHA49" "vadinHA49_unclassified" "vadinHA49_unclassified" NA NA
"Otu002471" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "SWB04" NA NA
"Otu002522" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Paenibacillaceae" NA NA
"Otu002712" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Legionellaceae" NA NA
"Otu002896" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" NA NA
"Otu003066" "Bacteria" "Actinobacteria" "Actinobacteria" "PeM15" "PeM15_unclassified" NA NA
"Otu003078" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "TM146" NA NA
"Otu003167" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "LiUU-11-161" NA NA
"Otu003218" "Bacteria" "Actinobacteria" "Actinobacteria_unclassified" "Actinobacteria_unclassified" "Actinobacteria_unclassified" NA NA
"Otu003936" "Bacteria" "Chlamydiae" "Chlamydiae" "Chlamydiales" "Chlamydiales_unclassified" NA NA
"Otu004969" "Bacteria" "WCHB1-60" "WCHB1-60_unclassified" "WCHB1-60_unclassified" "WCHB1-60_unclassified" NA NA
"Otu005236" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "SAR11_clade" "SAR11_clade_unclassified" NA NA
"Otu007520" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" NA NA
"Otu009453" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales_Incertae_Sedis" NA NA
